state,year,total,D,R,party,pv2p,last_pv2p,winner,incumbent,incumbent_party
Hawaii,1996,360120,205012,113943,republican,35.72384819175119,43.280022269178694,FALSE,FALSE,FALSE
Hawaii,1996,360120,205012,113943,democrat,64.27615180824881,56.719977730821306,TRUE,TRUE,TRUE
Hawaii,2000,367951,205286,137845,republican,40.172703719570656,35.72384819175119,TRUE,FALSE,FALSE
Hawaii,2000,367951,205286,137845,democrat,59.827296280429344,64.27615180824881,FALSE,FALSE,TRUE
Hawaii,2004,429013,231708,194191,republican,45.59555199706973,40.172703719570656,TRUE,TRUE,TRUE
Hawaii,2004,429013,231708,194191,democrat,54.40444800293027,59.827296280429344,FALSE,FALSE,FALSE
Hawaii,2008,456064,325871,120566,republican,27.00627412154459,45.59555199706973,FALSE,FALSE,TRUE
Hawaii,2008,456064,325871,120566,democrat,72.99372587845542,54.40444800293027,TRUE,FALSE,FALSE
Hawaii,2012,437159,306658,121015,republican,28.296151498925582,27.00627412154459,FALSE,FALSE,FALSE
Hawaii,2012,437159,306658,121015,democrat,71.70384850107442,72.99372587845542,TRUE,TRUE,TRUE
Hawaii,2016,437664,266891,128847,republican,32.55866254946454,28.296151498925582,TRUE,FALSE,FALSE
Hawaii,2016,437664,266891,128847,democrat,67.44133745053546,71.70384850107442,FALSE,FALSE,TRUE
Idaho,1988,408968,147272,253881,republican,63.28782285063305,73.27557119741499,TRUE,FALSE,TRUE
Idaho,1988,408968,147272,253881,democrat,36.71217714936695,26.72442880258501,FALSE,FALSE,FALSE
Idaho,1992,482114,137013,202645,republican,59.66148302115658,63.28782285063305,FALSE,TRUE,TRUE
Idaho,1992,482114,137013,202645,democrat,40.33851697884342,36.71217714936695,TRUE,FALSE,FALSE
Idaho,1996,491711,165443,256595,republican,60.79902757571594,59.66148302115658,FALSE,FALSE,FALSE
Idaho,1996,491711,165443,256595,democrat,39.20097242428407,40.33851697884342,TRUE,TRUE,TRUE
Idaho,2000,501615,138637,336937,republican,70.84849045574401,60.79902757571594,TRUE,FALSE,FALSE
Idaho,2000,501615,138637,336937,democrat,29.151509544255994,39.20097242428407,FALSE,FALSE,TRUE
Idaho,2004,598376,181098,409235,republican,69.32273818336431,70.84849045574401,TRUE,TRUE,TRUE
Idaho,2004,598376,181098,409235,democrat,30.6772618166357,29.151509544255994,FALSE,FALSE,FALSE
Idaho,2008,655122,236440,403012,republican,63.02458980502055,69.32273818336431,FALSE,FALSE,TRUE
Idaho,2008,655122,236440,403012,democrat,36.97541019497945,30.6772618166357,TRUE,FALSE,FALSE
Idaho,2012,652274,212787,420911,republican,66.42138684357533,63.02458980502055,FALSE,FALSE,FALSE
Idaho,2012,652274,212787,420911,democrat,33.578613156424666,36.97541019497945,TRUE,TRUE,TRUE
Idaho,2016,690255,189765,409055,republican,68.31017668080558,66.42138684357533,TRUE,FALSE,FALSE
Idaho,2016,690255,189765,409055,democrat,31.689823319194417,33.578613156424666,FALSE,FALSE,TRUE
Illinois,1988,4559120,2215940,2310939,republican,51.04927699635886,56.47325330722075,TRUE,FALSE,TRUE
Illinois,1988,4559120,2215940,2310939,democrat,48.95072300364114,43.52674669277925,FALSE,FALSE,FALSE
Illinois,1992,5050157,2453350,1734096,republican,41.411781787753206,51.04927699635886,FALSE,TRUE,TRUE
Illinois,1992,5050157,2453350,1734096,democrat,58.5882182122468,48.95072300364114,TRUE,FALSE,FALSE
Illinois,1996,4311391,2341744,1587021,republican,40.39490781454223,41.411781787753206,FALSE,FALSE,FALSE
Illinois,1996,4311391,2341744,1587021,democrat,59.60509218545778,58.5882182122468,TRUE,TRUE,TRUE
Illinois,2000,4742108,2589026,2019421,republican,43.81998968416041,40.39490781454223,TRUE,FALSE,FALSE
Illinois,2000,4742108,2589026,2019421,democrat,56.18001031583959,59.60509218545778,FALSE,FALSE,TRUE
Illinois,2004,5274322,2891550,2345946,republican,44.79136595044655,43.81998968416041,TRUE,TRUE,TRUE
Illinois,2004,5274322,2891550,2345946,democrat,55.20863404955345,56.18001031583959,FALSE,FALSE,FALSE
Illinois,2008,5522371,3419348,2031179,republican,37.26573595544064,44.79136595044655,FALSE,FALSE,TRUE
Illinois,2008,5522371,3419348,2031179,democrat,62.73426404455936,55.20863404955345,TRUE,FALSE,FALSE
Illinois,2012,5242014,3019512,2135216,republican,41.42247660788309,37.26573595544064,FALSE,FALSE,FALSE
